xbins=30
Q2bins=24
Ebins=1
id	x	Q2	E	Central_Value	Replica_1	Replica_2	Replica_3	Replica_4	Replica_5	Replica_6	Replica_7	Replica_8
109	4	13	0	5.882970e-02	4.153500e-05	3.487895e-03	4.808250e-04	9.738100e-04	3.766275e-03	3.590370e-03	2.075760e-03	2.993450e-04
110	4	14	0	5.914568e-02	4.722500e-05	3.504165e-03	4.841250e-04	9.743700e-04	3.803460e-03	3.638740e-03	2.079045e-03	3.008400e-04
111	4	15	0	5.789678e-02	4.698500e-05	3.428180e-03	4.725500e-04	9.440150e-04	3.750620e-03	3.601155e-03	2.020655e-03	2.962850e-04
112	4	16	0	5.590002e-02	4.383000e-05	3.308395e-03	4.544250e-04	8.995750e-04	3.655365e-03	3.521205e-03	1.934495e-03	2.888050e-04
113	4	17	0	5.489535e-02	4.374000e-05	3.247895e-03	4.466750e-04	8.761000e-04	3.617540e-03	3.492660e-03	1.890470e-03	2.849600e-04
114	4	18	0	5.441617e-02	4.531500e-05	3.218490e-03	4.440750e-04	8.638150e-04	3.608235e-03	3.489990e-03	1.868440e-03	2.831500e-04
115	4	19	0	5.338338e-02	4.530000e-05	3.155405e-03	4.351800e-04	8.401350e-04	3.563320e-03	3.455980e-03	1.822525e-03	2.795300e-04
116	4	20	0	5.209094e-02	4.449000e-05	3.076675e-03	4.235050e-04	8.112750e-04	3.501065e-03	3.406540e-03	1.765615e-03	2.751500e-04
117	4	21	0	5.117241e-02	4.470000e-05	3.020940e-03	4.164550e-04	7.905000e-04	3.461280e-03	3.376720e-03	1.725190e-03	2.721800e-04
118	4	22	0	5.049772e-02	4.520500e-05	2.980360e-03	4.120950e-04	7.750700e-04	3.435070e-03	3.358550e-03	1.695390e-03	2.699700e-04
119	4	23	0	4.962712e-02	4.451000e-05	2.928135e-03	4.047950e-04	7.556150e-04	3.394980e-03	3.327965e-03	1.656800e-03	2.666750e-04
120	5	0	0	-1.606488e-03	3.685000e-07	9.599400e-05	1.292000e-05	3.023850e-05	9.081700e-05	8.395350e-05	6.059500e-05	7.590500e-06
121	5	1	0	1.998916e-03	4.585000e-07	1.194430e-04	1.607550e-05	3.762450e-05	1.130040e-04	1.044640e-04	7.539600e-05	9.444500e-06
122	5	2	0	4.107160e-02	9.470000e-06	2.454050e-03	3.301800e-04	7.722450e-04	2.324320e-03	2.149155e-03	1.548485e-03	1.942450e-04
123	5	3	0	8.868997e-02	2.086500e-05	5.298085e-03	7.119100e-04	1.660645e-03	5.039850e-03	4.664200e-03	3.337995e-03	4.210350e-04
124	5	4	0	8.148445e-02	2.092500e-05	4.863810e-03	6.511350e-04	1.503040e-03	4.699300e-03	4.363120e-03	3.047370e-03	3.919400e-04
125	5	5	0	6.281535e-02	2.052000e-05	3.744870e-03	5.018200e-04	1.131080e-03	3.713135e-03	3.467125e-03	2.322845e-03	3.079650e-04
126	5	6	0	7.121064e-02	2.840500e-05	4.243760e-03	5.752800e-04	1.280485e-03	4.228155e-03	3.953135e-03	2.626490e-03	3.483300e-04
127	5	7	0	7.180983e-02	3.410500e-05	4.271175e-03	5.811800e-04	1.279330e-03	4.306950e-03	4.031185e-03	2.635810e-03	3.516300e-04
